id;client_id;large;large_height;large_width;medium;medium_height;medium_width;small;small_height;small_width;jhi_raw;cropx;cropy;crop_height;crop_width;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;resolve to snappy;while;20461;7082;along vivacious young;5261;21435;impassioned salute gruesome;28615;30313;shrill;11722;23234;29840.31;1949;radio often soulful;2023-12-27T06:50:57;2023-12-27T08:04:16;grit duration sadly;quicker besides that
2;where creamy;throughout;14690;25627;plump prise expression;30226;32379;hm brunch;6165;7917;jink overflow;18919;5856;4473.18;2206.54;when sure-footed;2023-12-27T06:11:15;2023-12-27T14:58:26;after ick terribly;athwart boo hmph
3;by;incidentally urgently;20796;1293;over;3955;16407;upright zowie;29048;6424;but vice internal;1682;13623;16106.6;4764.3;yuck;2023-12-26T19:55:32;2023-12-27T00:45:17;anenst paltry fleck;up upon
4;pfft;wholly since incidentally;17861;20967;loudly eject;720;100;aw;8858;8007;oh grape;8399;25064;13437.15;13686.99;gadzooks but;2023-12-26T21:04:53;2023-12-27T12:32:48;software now;though
5;grown;hello quarterly regime;13206;5680;vain;9612;1570;barring crunch provided;867;24104;lightning bumpy syrup;5898;15632;24096.81;16296.44;uh-huh minus;2023-12-26T23:51:40;2023-12-26T19:57:23;wet;for likely
6;after;compare times consequently;17303;15533;absent often;11573;15824;judgementally;7965;4454;onto aircraft;13117;10137;32732.37;24065.25;meh;2023-12-27T03:04:04;2023-12-27T06:56:50;publicize gleeful;joint
7;slowly test;meaningfully chubby;1606;25213;ha;24430;26093;supposing;16752;21035;clearly;4411;15792;26635.16;23059.19;finally paraphrase;2023-12-27T05:18:41;2023-12-26T21:37:45;nor finally uh-huh;happily padlock boo
8;mortally after;buzzing aw athwart;17427;28783;after naughty submitter;25323;16733;deep pish;9436;24480;provided so;10731;4411;13605.69;6000.97;descale diligently brief;2023-12-27T06:26:22;2023-12-26T17:46:13;certainly video;phew variable lest
9;baggy upliftingly;forenenst crinkle diversify;9093;27931;ambience valiantly;5881;24406;depressurize redound;30449;24351;soon during;6929;15311;13568.54;18699.85;nor colorfully what;2023-12-27T10:46:03;2023-12-27T00:18:25;rightfully;beside
10;spare;softening rotating;2476;21307;genuine;4245;20702;regime modulo quinoa;31858;1614;shear hock;20348;17702;10245.91;30205.7;exclude;2023-12-27T05:32:25;2023-12-26T15:40:08;boohoo position longingly;pfft vengeance
