id;tag;tag_display;jhi_group;group_display;color;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;yet;cockroach yahoo port;phew;gazelle;teal;meh expand;2023-12-26T15:34:25;2023-12-27T06:21:21;unripe;indeed
2;versus inasmuch;alongside than oh;than courageous;naive eek;yellow;like yahoo bah;2023-12-27T03:05:03;2023-12-27T07:43:29;limited unnaturally;evil or
3;billet sack;ah moral up;at;ah lest;purple;elapse;2023-12-26T22:54:04;2023-12-26T18:36:15;but lest;until
4;exalted provided geez;anguished unto athwart;acrylic;ceiling;maroon;spasm;2023-12-27T06:54:14;2023-12-27T09:53:56;pish but cake;whenever impressionable
5;square so anti;frivolous disown since;taper wreak;following;lavender;watermelon unto on;2023-12-26T21:03:39;2023-12-27T13:40:17;lined quaintly pro;wherever huzzah
6;practice;oof;pinworm;meh;sky blue;following thoughtfully;2023-12-27T08:49:54;2023-12-27T05:25:43;oversee;whoa sudden
7;as rotten;before bare mink;huzzah ugh;vigilant perfect;orange;in;2023-12-27T06:57:44;2023-12-27T04:44:49;instead coaxingly;yet
8;springboard;trusting regularly icky;gee;gah deep unaccountably;red;itemise reborn with;2023-12-26T15:40:19;2023-12-27T14:26:18;playful questionable ew;entrap saunter
9;ew warble;ack sidle yowza;bottom apud vicious;extroverted briskly only;ivory;aha indeed;2023-12-27T14:56:04;2023-12-27T02:33:47;gee;mmm impish common
10;valentine;nougat enchant display;yippee ha trip;next rude strong;fuchsia;for ick happen;2023-12-27T10:12:33;2023-12-27T12:15:58;since dislike despite;wetland choir
