id;venue_id;avg_rating;booked_by_names;last_visit_date;num_ratings;total_cancellations;total_covers;total_no_shows;total_spend;total_spend_local;total_spend_localper_cover;total_spend_local_per_visit;total_spendper_cover;total_spend_per_visit;total_visit;venue_marketing_optin;venue_marketing_optints;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;astride;17240;rough pfft;till to;11727;17296;4640;28781;14781.73;18979.12;11380.57;22885.86;27198.38;30586.78;2298;true;an misty;alongside;2023-12-26T23:38:05;2023-12-27T00:31:32;whoa;fooey ew cohabit
2;oh during lark;20214;though aw want;other meager;12849;17542;16622;29447;10324.57;6785.78;8732.04;17342.94;27863.55;25695.53;20491;false;monthly snake;athwart evenly;2023-12-27T02:11:13;2023-12-26T22:45:03;mistreat diam unethically;wonderfully pocketbook after
3;beside;1278;for gee;physically;28815;18110;9205;21667;20042.16;21504.87;23680.45;13801.03;26630.75;31160.73;16857;true;helpfully papaya;forenenst bushwhack rye;2023-12-26T17:56:12;2023-12-27T07:17:32;er pish while;clearly seldom
4;attenuation boastfully however;17169;crafty but;until badly for;26126;3010;26524;12239;29424.79;26057.95;18822.06;23623.84;6283.07;15462.24;24057;false;outlaw;forenenst now fraudster;2023-12-26T15:55:44;2023-12-27T08:28:14;tint;wingman
5;likely tint crown;19168;duh delirious boohoo;recover aw boohoo;4258;32647;18967;32415;12773.71;7416.41;10108.31;32021.88;15454.77;25997.46;25935;false;caulk meaningfully lest;loudly;2023-12-27T08:58:27;2023-12-26T19:23:39;polo meanwhile;than zowie
6;besides whenever;17672;father-in-law next;except;29700;1294;5089;9060;1143.99;9560.84;18269.6;24020.47;22298.4;6032.95;2681;false;happy brr;an;2023-12-27T09:25:17;2023-12-26T16:05:45;um doorbell;zucchini psst gorge
7;yowza uncouple;22384;organize past geez;correctly fireplace;13148;3688;20429;21671;28041.62;17544.83;21176.28;13259.3;21573.24;4277.68;10774;false;content limply hm;yahoo honestly unselfish;2023-12-27T01:22:08;2023-12-26T23:52:13;misfile potentially psst;darling
8;excepting jelly where;17952;whose than;bustling duh step-uncle;7325;23856;28385;15968;16029.3;18965.73;694.3;14246.06;31521.76;8834.49;27325;true;gah about;quick;2023-12-27T02:42:10;2023-12-26T20:01:10;across;soon quote hmph
9;for retrofit;23586;what including;why;14820;13915;16284;4458;20978.95;7597.75;24810.6;13647.04;29199.08;17016.97;16823;true;since gas eel;flung righteously;2023-12-27T10:57:02;2023-12-26T22:45:38;because perjure;brightly well-to-do
10;aside;13382;unknown consequently;oof after pfft;31562;14530;17830;24942;30309.78;14323.93;23558.15;12108.21;14755.62;18700.17;19571;false;along unaware newsprint;desire around;2023-12-26T15:34:35;2023-12-27T12:51:23;friendly;flop flippant magnificent
