id;system_name;display_order;name;jhi_value;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;shrilly new;25492;at blizzard;defiantly fiercely;gah repeatedly but;2023-12-27T00:15:18;2023-12-26T23:37:41;gee torment;pomelo supposing boohoo
2;when yum duh;25225;colorless zigzag anxiously;rectangular yowza;excepting jettison whether;2023-12-26T16:34:51;2023-12-26T23:12:37;yuck pootle;by pfft
3;gently maize tower;21690;alley gah beloved;eek;lest;2023-12-26T23:45:49;2023-12-27T03:01:41;rash gee inquisitively;staid across
4;harvester whoever;25567;fortunately;firm upon usually;equal whoever;2023-12-26T19:01:14;2023-12-27T13:58:01;continually race befriend;provided after
5;huzzah frosty;25214;gah fluffy creepy;fitness meatball stopper;highly pro;2023-12-27T15:07:21;2023-12-26T20:44:44;rehouse gosh nectar;sister including sleepily
6;adventurously baseline fooey;28395;railing;irrupt bad;although;2023-12-26T23:41:58;2023-12-26T19:05:28;into;afore
7;excluding aha um;27954;somersault level mountainous;violet;below as oof;2023-12-27T00:48:21;2023-12-26T17:15:22;sense exemplary;death youthfully
8;playwright;2549;biodegradable;ack woot hm;infamous cork;2023-12-26T21:52:36;2023-12-26T19:49:46;powerfully;gigantic sale
9;huzzah onto;16811;jaggedly skew;angrily;huzzah beyond;2023-12-27T10:23:52;2023-12-26T16:34:19;stale round;oats charbroil collar
10;while;21001;big boohoo around;frightfully solidly though;provided encash;2023-12-27T01:50:41;2023-12-26T18:05:13;plunk;winding where
