id;system_name;display_order;name;jhi_value;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;warlord apud;26803;sane;hmph hmph;barring;2023-12-27T07:46:32;2023-12-27T08:32:43;burp;er
2;hollow whenever;3336;brain likewise curly;neatly hospitable coincide;unwilling yet rock;2023-12-26T21:02:29;2023-12-26T17:11:57;rainstorm super yesterday;actually consequently
3;supposing hot;4605;exterminate;backdrop;birdcage;2023-12-27T07:23:14;2023-12-26T20:42:33;contort potentially;fairly vigilant
4;indeed;9141;commandeer;certainly swordfish wan;meanwhile;2023-12-27T10:43:38;2023-12-26T19:42:58;before gah;transport drat anatomy
5;round half;18741;modulo whenever;abate anti knottily;yippee shortage;2023-12-26T21:15:47;2023-12-27T10:44:42;trigonometry dental;circular
6;vivacious assured;5244;rheumatism hard;bead separately;before privatise;2023-12-27T12:08:31;2023-12-26T19:11:49;yet belated inasmuch;lest
7;yahoo;31139;although;why as;mortally drat hmph;2023-12-26T21:34:47;2023-12-26T22:04:27;aggressive;daub
8;design aw;23490;mortified shakily;conference minus versus;geyser;2023-12-27T06:29:28;2023-12-27T11:09:31;zowie;like drat
9;patiently selfishly whoever;12654;viciously electrocute sepal;provided this;exposition duh ha;2023-12-26T20:03:25;2023-12-27T10:37:50;velvety requite;loftily or wallet
10;huzzah knowledgeably;27081;half dogwood shallow;aw;officially saint fluffy;2023-12-26T16:12:51;2023-12-27T03:18:18;ouch;male bah
