id;status;admin_fee;code;table_no;tax;business_id;local_posticket_id;employee_name;total;subtotal;start_time;service_charge;endtime;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;dirty instead;23814.06;10254;instead;8301.41;31846;unlucky;notwithstanding;6641.12;3516.93;cheater intelligent;30193;virtuous fairly gleefully;vengeance;2023-12-27T14:28:26;2023-12-27T05:55:51;glasses hay;boastfully ick
2;relieved amidst wingtip;25048.29;1234;eke compact;16382.57;20647;whoever ack calmly;lard;5222.86;29208.37;where;29124.75;carelessly ack;injure the whether;2023-12-27T02:53:28;2023-12-27T05:46:32;athwart finally;pointed
3;separately antagonize;20814.45;14116;yearningly once;31509.76;20362;recklessly;cool;22459.53;5409.67;movement;15436.47;pheromone down;aha honestly;2023-12-27T11:44:05;2023-12-27T07:02:09;restfully where;good bitmap boo
4;next;997.36;28587;furthermore although;16652.41;30211;by minimise custom;underneath given;8231.26;21713.01;google amid prize;12848.04;concerned chip;certificate really;2023-12-26T22:11:42;2023-12-26T18:10:40;youthfully;patrol instead
5;hmph furthermore almost;16118.06;3959;hybridization huzzah glistening;27491.99;31734;preference colonial fratricide;mmm but;21180.79;24953.28;intentional;10132.58;psst justly whispered;oh;2023-12-26T20:51:31;2023-12-26T16:36:11;atop;gadzooks boo
6;mid;10175.33;14039;dull;8365;28440;past seeker;beyond;8381.65;10945.9;ick reluctantly music-box;10352.07;winds;though yin;2023-12-26T22:29:16;2023-12-27T14:12:01;upward;enlightened lonely demoralize
7;brr that;31223.76;17584;abscond;14001.16;32385;among locker;indeed;32386.12;28818.23;exactly;8770.64;of;what wetly;2023-12-27T10:28:32;2023-12-26T17:04:10;commonly;courteous yum gah
8;curiously likewise;18201.97;15641;minus arraign springboard;4865.74;29372;for;at absent;17891.47;3846.88;or aboard;23185.65;murmuring use active;ridge gah;2023-12-26T21:15:38;2023-12-27T07:50:40;for whoa pleasant;versus gee ack
9;though terrific;17728.44;30161;narrowcast instead instead;18922.43;16689;assured yearly;yummy;815.44;4865.76;lest fog;20298.09;qua breeze;volume;2023-12-26T20:14:07;2023-12-26T18:14:11;sore;as
10;violet;19680.67;8597;unwind committee;24896.78;10047;sans weakly;across ecstatic darling;16366.39;4163.02;abaft;4839.07;ick;along;2023-12-27T06:42:31;2023-12-27T06:30:04;excepting oof;around
