id;price;name;quantity;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;27222.59;up lightly motionless;19487;ouch unaware;2023-12-26T16:59:08;2023-12-26T19:46:33;promptly;gladden snuffling
2;31478.37;including yuck;14731;vigilant far-off;2023-12-27T07:16:28;2023-12-27T13:41:33;brutalize;whoa curiously
3;22477.83;raise;24358;advanced empire eclipse;2023-12-27T15:11:35;2023-12-27T04:39:48;yieldingly warfare configuration;euphoric
4;19224.67;column;15139;instead azimuth boo;2023-12-26T18:29:44;2023-12-26T19:49:06;progenitor downshift fooey;editing anti
5;15160.54;bail bleakly potentially;29683;zowie pushy;2023-12-27T03:45:04;2023-12-26T20:02:14;SUV for;pish
6;23864.76;that stunning healthily;5440;queasily;2023-12-27T13:31:53;2023-12-27T01:56:29;oh ranch;worried frivolous
7;14187.84;imagine;26608;since ack worm;2023-12-26T19:09:39;2023-12-27T02:19:59;barn;use when essential
8;22160.33;nor ouch;3424;violently;2023-12-27T12:31:24;2023-12-27T11:05:49;sweltering;until handmaiden nature
9;23351.8;intensely with luck;22670;hospitable within;2023-12-26T22:27:50;2023-12-26T19:39:03;throughout face more;triangular whose
10;15238.07;coolly;13743;although okay quoth;2023-12-27T05:46:25;2023-12-27T14:40:43;across barring;hectare
